ashleigh,barty
​​vera,zvonareva
​​clara,burel
​​clara,tauson
​​shelby,rogers
​​madison,brengle
​​sorana,cirstea
​​veronika,kudermetova
​​karolina,muchova
​​sara-sorribes,tormo
claire,liu
su-wei,hsieh
hailey,baptiste
shuai,zhang
emma,raducanu
stefanie,voegele
belinda,bencic
arantxa,rus
martina,trevisan
coco,vandeweghe
misaki,doi
storm,sanders
anastasia,potapova
jessica,pegula
anett,kontaveit
samantha,stosur
cristina,bucsa
jil,teichmann
fiona,ferro
nao,hibino
jamie,loeb
iga,swiatek
karolina,pliskova
catherine,mcnally
zarina,diyas
amanda,anisimova
ajla,tomljanovic
katie,volynets
dalma,galfi
petra,martic
paula,badosa
alison-van,uytvanck
varvara,gracheva
nuria-parrizas,diaz
anna-karolina,schmiedlova
ashlyn,krueger
alison-riske,amritraj
anastasia,pavlyuchenkova
petra,kvitova
polona,hercog
danka,kovinic
kristyna,pliskova
anastasija,sevastova
katerina,siniakova
marta,kostyuk
maria,sakkari
greet,minnen
nadia,podoroska
liudmila,samsonova
katie,boulter
lauren,davis
viktoriya,tomova
viktorija,golubic
bianca,andreescu
elina,svitolina
rebecca,marino
rebeka,masarova
ana,bogdan
marketa,vondrousova
elena-gabriela,ruse
tsvetana,pironkova
daria,kasatkina
elena,rybakina
aliaksandra,sasnovich
caroline,garcia
harriet,dart
ann,li
kristina,kucova
camila,giorgi
simona,halep
angelique,kerber
dayana,yastremska
mayar,sherif
anhelina,kalinina
madison,keys
sloane,stephens
magda,linette
cori,gauff
yulia,putintseva
kaia,kanepi
leylah,fernandez
ana,konjuh
alycia,parks
olga,danilovic
marie,bouzkova
naomi,osaka
barbora,krejcikova
astra,sharma
emma,navarro
christina,mchale
kristina,mladenovic
​​kamilla,rakhimova
​​sara,errani
​​ekaterina,alexandrova
​​victoria,azarenka
​​tereza,martincova
​​jasmine,paolini
​​yaroslava,shvedova
​​andrea,petkovic
​​irina-camelia,begu
​​donna,vekic
​​garbine,muguruza
​​elise,mertens
​​rebecca,peterson
​​valentini,grammatikopoulou
​​anna,blinkova
​​ivana,jorovic
​​camila,osorio
​​alizé,cornet
​​ons,jabeur
​​danielle,collins
​​carla-suarez,navarro
​​heather,watson
​​kaja,juvan
​​bernarda,pera
​​tamara,zidansek
​​nina,stojanovic
​​aryna,sabalenkaajla,tomljanovic
aliaksandra,sasnovich
alison-riske,amritraj
alison-van,uytvanck
​​alizé,cornet
alycia,parks
amanda,anisimova
ana,bogdan
ana,konjuh
anastasia,pavlyuchenkova
anastasia,potapova
anastasija,sevastova
​​andrea,petkovic
anett,kontaveit
angelique,kerber
anhelina,kalinina
​​anna,blinkova
anna-karolina,schmiedlova
ann,li
arantxa,rus
​​aryna,sabalenka
ashleigh,barty
ashlyn,krueger
astra,sharma
barbora,krejcikova
belinda,bencic
​​bernarda,pera
bianca,andreescu
camila,giorgi
​​camila,osorio
​​carla-suarez,navarro
caroline,garcia
catherine,mcnally
christina,mchale
claire,liu
​​clara,burel
​​clara,tauson
coco,vandeweghe
cori,gauff
cristina,bucsa
dalma,galfi
​​danielle,collins
danka,kovinic
daria,kasatkina
dayana,yastremska
​​donna,vekic
​​ekaterina,alexandrova
elena-gabriela,ruse
elena,rybakina
elina,svitolina
​​elise,mertens
emma,navarro
emma,raducanu
fiona,ferro
​​garbine,muguruza
greet,minnen
hailey,baptiste
harriet,dart
​​heather,watson
iga,swiatek
​​irina-camelia,begu
​​ivana,jorovic
jamie,loeb
​​jasmine,paolini
jessica,pegula
jil,teichmann
kaia,kanepi
​​kaja,juvan
​​kamilla,rakhimova
​​karolina,muchova
karolina,pliskova
katerina,siniakova
katie,boulter
katie,volynets
kristina,kucova
kristina,mladenovic
kristyna,pliskova
lauren,davis
leylah,fernandez
liudmila,samsonova
​​madison,brengle
madison,keys
magda,linette
maria,sakkari
marie,bouzkova
marketa,vondrousova
marta,kostyuk
martina,trevisan
mayar,sherif
misaki,doi
nadia,podoroska
nao,hibino
naomi,osaka
​​nina,stojanovic
nuria-parrizas,diaz
olga,danilovic
​​ons,jabeur
paula,badosa
petra,kvitova
petra,martic
polona,hercog
rebecca,marino
​​rebecca,peterson
rebeka,masarova
samantha,stosur
​​sara,errani
​​sara-sorribes,tormo
​​shelby,rogers
shuai,zhang
simona,halep
sloane,stephens
​​sorana,cirstea
stefanie,voegele
storm,sanders
su-wei,hsieh
​​tamara,zidansek
​​tereza,martincova
tsvetana,pironkova
​​valentini,grammatikopoulou
varvara,gracheva
​​vera,zvonareva
​​veronika,kudermetova
​​victoria,azarenka
viktorija,golubic
viktoriya,tomova
​​yaroslava,shvedova
yulia,putintseva
zarina,diyas
